cmtDate,postId,userId,cmtText,cmtLikes,cmtText_clean,sentiment
2025-06-02 07:05:22+00:00,1147436614095615,pfbid036432FUUhBiAzqFUkjSn8ZR3JqpSz9qfJyZ9qFwAdGnGg1j3eeJoy9sf3HyBV9JoZl,Rất tuyệt vời,0,Rất tuyệt vời,positive
2025-06-02 07:04:14+00:00,1147436614095615,100082365036655,Mua laptop,0,Mua laptop,neutral
2025-06-02 06:33:15+00:00,1147436614095615,100010438388165,hello,0,hello,neutral
2025-06-01 10:42:34+00:00,1146548730851070,pfbid036432FUUhBiAzqFUkjSn8ZR3JqpSz9qfJyZ9qFwAdGnGg1j3eeJoy9sf3HyBV9JoZl,Rất tuyệt vời,0,Rất tuyệt vời,positive
2025-06-01 09:24:03+00:00,1146548730851070,100082365036655,Mua 2 cái laptop,0,Mua 2 cái laptop,neutral
2025-06-01 03:43:02+00:00,1146504504188826,pfbid02vrerdeMR2eCGuRDBSkngtWyL5eoMRZkgLn11m5CkmhsTXBhZvFvoMWVEf5ZqmrGhl,"""Không chỉ... Mà còn...""
Giờ giáo viên tiếng Việt ko dạy cặp từ này hả, hay là dạy thiếu 🤣",32,"""Không chỉ... Mà còn...""
Giờ giáo viên tiếng Việt ko dạy cặp từ này hả, hay là dạy thiếu ",negative
2025-06-01 02:29:56+00:00,1146504504188826,100005658369921,"Laptop là laptop, chừng nào bán cặp sách thì nói hành trang tương lai chứ shop, chán quá",39,"Laptop là laptop, chừng nào bán cặp sách thì nói hành trang tương lai chứ shop, chán quá",negative
2025-06-01 01:04:13+00:00,1146504504188826,pfbid0Y3aDzJzsRfJtZbJCigEeGGAD7LENS4DHTizR1K2pjv14TiydNtRobxKERxoAN1cgl,Content của thế hệ cợt nhả đây sao,39,Content của thế hệ cợt nhả đây sao,negative
2025-06-01 02:54:30+00:00,1146504504188826,pfbid0BKiWDx96iWSYTerMP7zS7LbciGFJeFoKqbUuCskwhymgYjn6iBk3B4Pnp3VvBgSil,Content nhạt hơn nước cất 🤦‍♀️,22,Content nhạt hơn nước cất ,negative
2025-06-01 01:46:20+00:00,1146504504188826,pfbid02TWA7CFgJmJbEgbZCHsprRLCDsCjqMKL53KRf6f6ohdiFUWyjhqH8phNrMUnoz5jQl,Làm content chán quá shop ơi,23,Làm content chán quá shop ơi,negative
2025-06-01 02:24:12+00:00,1146504504188826,pfbid02163oq2W4fpVYdVddF2z83DMWgK3GrdnEm1rtEivnNTjBax4trKrEDJDaj7veEnful,Cả cái MBW bự chả bá mà làm content nhạt vãi,14,Cả cái MBW bự chả bá mà làm content nhạt vãi,negative
2025-06-01 03:09:05+00:00,1146504504188826,100022349598660,Không bán nữa thì qua Phong Vũ mua,8,Không bán nữa thì qua Phong Vũ mua,neutral
2025-06-01 02:37:31+00:00,1146504504188826,100026623449873,K bán thì qua chổ khác mua,4,K bán thì qua chổ khác mua,negative
2025-06-01 04:44:37+00:00,1146504504188826,pfbid0Dtu18o7EsRigazmaoZkh2t43CKH5eAMx8E7ohfMjY6wMCm9ZykPjfK4LY3pSN9Nil,Hành trang tương lai đâu đến từ cái laptop .. 🤣,1,Hành trang tương lai đâu đến từ cái laptop .. ,neutral
2025-06-01 05:19:05+00:00,1146504504188826,pfbid02NqXzc3SnGS88jhhrDhcsvEMnuDXTWmPtMAPrGxFnMfTApVndkiMNBesDVPG24HaUl,Bố của bạn cotent này làm giám đốc ngành hàng nào vậy ạ. :).,1,Bố của bạn cotent này làm giám đốc ngành hàng nào vậy ạ. :).,neutral
2025-05-30 15:22:50+00:00,1145328240973119,pfbid02YizoiFZM8hCCziPYdVBB3hxrQ3armvAAYC18TCo6RE5DJW1DVR51hww2JEqQFLvzl,Lạy ông làm content. Mà quỳ luôn ông phê duyệt 🤦,18,Lạy ông làm content. Mà quỳ luôn ông phê duyệt ,negative
2025-05-31 04:02:20+00:00,1145328240973119,100000374935121,"Ý là ko bán.
Mà đem tặng héng.",11,"Ý là ko bán.
Mà đem tặng héng.",negative
2025-05-31 04:13:59+00:00,1145328240973119,100011094259497,To be contonued… chắc nghỉ bán cả điện thoại máy tính bảng với phụ kiện luôn sao🥹.Thời buổi kinh tế thị trường các doanh nghiệp không cạnh tranh nổi thì phá sản thôi. Haizzz,4,To be contonued… chắc nghỉ bán cả điện thoại máy tính bảng với phụ kiện luôn sao.Thời buổi kinh tế thị trường các doanh nghiệp không cạnh tranh nổi thì phá sản thôi. Haizzz,negative
2025-05-30 15:34:19+00:00,1145328240973119,pfbid0Hfs3f9MNFcxA54yKB8gouHb8N7AgJF8rHFd4oQrhzsiCJA31YedBKMDBimT2mngGl,Dễ gây mất thiện cảm nhỉ ?,4,Dễ gây mất thiện cảm nhỉ ?,negative
2025-05-31 04:22:28+00:00,1145328240973119,pfbid0nTU5yXjsASgs7hdrGYGK6azM6J8JTcFJPSHCvtJ4bhDPcdXosWz4FcjMhHsdp79Sl,Thì t mua chỗ khác. Content tự huỷ 🐧,2,Thì t mua chỗ khác. Content tự huỷ ,neutral
2025-05-31 05:05:11+00:00,1145328240973119,pfbid0yu8xiNuNi1XeM4SEJAzJX8PyLQpVqRdxG9ggJBpNbo6H6jwhc4kikiRzd9LXJLz6l,"Đang định sáng mai vào mua
Đọc dc tin này,thôi ko qua nữa",2,"Đang định sáng mai vào mua
Đọc dc tin này,thôi ko qua nữa",negative
